Wavelength(um),|S11|(Mag),Phase(S11)[rad],|S21|(Mag)
1.658291e+00,3.599948e-01,2.724058e+01,7.789593e-02
1.666834e+00,3.642238e-01,2.727235e+01,7.878680e-02
1.675377e+00,3.686608e-01,2.730377e+01,7.965358e-02
1.683920e+00,3.730592e-01,2.733557e+01,8.044031e-02
1.692462e+00,3.772335e-01,2.736690e+01,8.125730e-02
1.701005e+00,3.815296e-01,2.739751e+01,8.210410e-02
1.709548e+00,3.859629e-01,2.742834e+01,8.287095e-02
1.718090e+00,3.901862e-01,2.745921e+01,8.360535e-02
1.726633e+00,3.943338e-01,2.748929e+01,8.439703e-02
1.735176e+00,3.986998e-01,2.751907e+01,8.516624e-02
1.743719e+00,4.030496e-01,2.754919e+01,8.585014e-02
1.752261e+00,4.071704e-01,2.757897e+01,8.654608e-02
1.760804e+00,4.113571e-01,2.760799e+01,8.729088e-02
1.769347e+00,4.157471e-01,2.763703e+01,8.797991e-02
1.777889e+00,4.200209e-01,2.766632e+01,8.859729e-02
1.786432e+00,4.241052e-01,2.769507e+01,8.924911e-02
1.794975e+00,4.283286e-01,2.772320e+01,8.993726e-02
1.803518e+00,4.327235e-01,2.775147e+01,9.055696e-02
1.812060e+00,4.369644e-01,2.777991e+01,9.111384e-02
1.820603e+00,4.410415e-01,2.780779e+01,9.171123e-02
1.829146e+00,4.452769e-01,2.783509e+01,9.234284e-02
1.837688e+00,4.496802e-01,2.786255e+01,9.290688e-02
1.846231e+00,4.539358e-01,2.789019e+01,9.340475e-02
1.854774e+00,4.580184e-01,2.791732e+01,9.393709e-02
1.863317e+00,4.622371e-01,2.794387e+01,9.451337e-02
1.871859e+00,4.666514e-01,2.797050e+01,9.503594e-02
1.880402e+00,4.709665e-01,2.799738e+01,9.547996e-02
1.888945e+00,4.750754e-01,2.802390e+01,9.593703e-02
1.897487e+00,4.792475e-01,2.804979e+01,9.645145e-02
1.906030e+00,4.836471e-01,2.807559e+01,9.694389e-02
1.914573e+00,4.880499e-01,2.810168e+01,9.734983e-02
1.923116e+00,4.922343e-01,2.812768e+01,9.772839e-02
1.931658e+00,4.963550e-01,2.815308e+01,9.816179e-02
1.940201e+00,5.006784e-01,2.817812e+01,9.862003e-02
1.948744e+00,5.051443e-01,2.820336e+01,9.901168e-02
1.957286e+00,5.094693e-01,2.822878e+01,9.933096e-02
1.965829e+00,5.136014e-01,2.825385e+01,9.966532e-02
1.974372e+00,5.177965e-01,2.827836e+01,1.000584e-01
1.982915e+00,5.222171e-01,2.830275e+01,1.004440e-01
1.991457e+00,5.266864e-01,2.832742e+01,1.007477e-01
2.000000e+00,5.309590e-01,2.835214e+01,1.009969e-01
