wl,n
1.03908,0.72729
1.04208,0.73386
1.04509,0.74046
1.04810,0.74707
1.05110,0.75370
1.05411,0.76035
1.05711,0.76702
1.06012,0.77371
1.06313,0.78041
1.06613,0.78713
1.06914,0.79386
1.07214,0.80061
1.07515,0.80737
1.07816,0.81415
1.08116,0.82094
1.08417,0.82775
1.08717,0.83457
1.09018,0.84141
1.09319,0.84825
1.09619,0.85511
1.09920,0.86199
1.10220,0.86887
1.10521,0.87577
1.10822,0.88267
1.11122,0.88959
1.11423,0.89652
1.11723,0.90346
1.12024,0.91041
1.12325,0.91737
1.12625,0.92434
1.12926,0.93132
1.13226,0.93831
1.13527,0.94531
1.13828,0.95231
1.14128,0.95932
1.14429,0.96635
1.14729,0.97337
1.15030,0.98041
1.15331,0.98745
1.15631,0.99451
1.15932,1.00156
1.16232,1.00863
1.16533,1.01570
1.16834,1.02277
1.17134,1.02985
1.17435,1.03694
1.17735,1.04403
1.18036,1.05113
1.18337,1.05823
1.18637,1.06533
1.18938,1.07244
1.19238,1.07956
1.19539,1.08668
1.19840,1.09380
1.20140,1.10093
1.20441,1.10805
1.20741,1.11519
1.21042,1.12232
1.21343,1.12946
1.21643,1.13660
1.21944,1.14374
1.22244,1.15089
1.22545,1.15803
1.22846,1.16518
1.23146,1.17233
1.23447,1.17948
1.23747,1.18664
1.24048,1.19379
1.24349,1.20095
1.24649,1.20810
1.24950,1.21526
1.25251,1.22242
1.25551,1.22957
1.25852,1.23673
1.26152,1.24389
1.26453,1.25105
1.26754,1.25820
1.27054,1.26536
1.27355,1.27251
1.27655,1.27967
1.27956,1.28682
1.28257,1.29398
1.28557,1.30113
1.28858,1.30828
1.29158,1.31543
1.29459,1.32258
1.29760,1.32972
1.30060,1.33687
1.30361,1.34401
1.30661,1.35115
1.30962,1.35829
1.31263,1.36543
1.31563,1.37256
1.31864,1.37969
1.32164,1.38682
1.32465,1.39395
1.32766,1.40107
1.33066,1.40819
1.33367,1.41531
1.33667,1.42242
1.33968,1.42953
1.34269,1.43664
1.34569,1.44374
1.34870,1.45084
1.35170,1.45794
1.35471,1.46503
1.35772,1.47212
1.36072,1.47920
1.36373,1.48628
1.36673,1.49336
1.36974,1.50043
1.37275,1.50750
1.37575,1.51456
1.37876,1.52162
1.38176,1.52867
1.38477,1.53572
1.38778,1.54277
1.39078,1.54981
1.39379,1.55684
1.39679,1.56387
1.39980,1.57090
